id,imdb_id,poster_path,title,movie_title,tag
194188 ,tt2836166,/1IzcjXhZHewvmLfKd8eGucDutyQ.jpg,punk' dead: slc punk 2,Punk's Dead: SLC Punk 2,"punk' dead: slc punk 2, comedi,punk' dead, the sequel to 1999 cult hit slc punk, is a punk romp through the utah hinterlands. ross, penni and crash, young outsid from differ tribes, embark on a road trip to a huge punk show. ross, 19, is the love child of trish and heroin bob, who die befor ross wa born. dure their odyssey, and with the help of a healthi dose of drugs, alcohol and punk music, ross shred hi darkli gothic outlook and embrac life. hi mother trish, who rais ross alon in her steam punk shop, discov that he is in a crisis. she recruit hi 'uncles,' bob' old slc gang, to help find him. when all collid at the concert, they are forc to deal with their unresolv relationship with bob., a young punk' odyssey., "
177677 ,tt2381249,/z2sJd1OvAGZLxgjBdSnQoLCfn3M.jpg,mission: imposs - rogu nation,Mission: Impossible - Rogue Nation,"mission: imposs - rogu nation, action adventur thriller,ethan and team take on their most imposs mission yet, erad the syndic - an intern rogu organ as highli skill as they are, commit to destroy the imf., desper times. desper measures., londonengland spi austria villain sequel mission conspiraci viennaopera vienna"
295958 ,tt2990756,/cFaNxdOzL47wb1M1hvIf0Vtd99u.jpg,sound of redemption: the frank morgan stori,Sound of Redemption: The Frank Morgan Story,"sound of redemption: the frank morgan stori, ,thi soul documentari illumin the hell-and- back life of the late, great l.a. alto sax legend frank morgan. a prodigi who wa acclaim as the natur heir to hi bebop mentor, charli parker, morgan derail hi career with heroin, which led him into a life of crime. after decad in prison, he made an astonish comeback, leav behind record of deep, melancholi beauty. frame by a tribut concert held in san quentin, where morgan’ 19-year-old asian-american protégé, grace kelly, perform a heart-stop version of “over the rainbow,” n.c. heikin’ film is fill with reveal interview with the colleagues, lovers, famili and wive who accompani morgan on hi long and rocki journey to redemption., none, womandirector"
76757 ,tt1617661,/aMEsvTUklw0uZ3gk3Q6lAj6302a.jpg,jupit ascend,Jupiter Ascending,"jupit ascend, sciencefict fantasi action adventur,in a univers where human genet materi is the most preciou commodity, an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty…, expand your universe., jupit space womandirector 3d interspeciesrom"
264660 ,tt0470752,/btbRB7BrD887j5NrvjxceRDmaot.jpg,ex machina,Ex Machina,"ex machina, drama sciencefict,caleb, a 26 year old coder at the world' largest internet company, win a competit to spend a week at a privat mountain retreat belong to nathan, the reclus ceo of the company. but when caleb arriv at the remot locat he find that he will have to particip in a strang and fascin experi in which he must interact with the world' first true artifici intelligence, hous in the bodi of a beauti robot girl., there is noth more human than the will to surviv, danc artificialintellig distrust isol technolog manipul friendship decept laboratori robot poweroutag surveillancecamera conscious existenti lockdown philosoph robothumanrelationship turingtest cybernet"
244563 ,tt3263614,/3PvhdMaJY4QrnjahZXwYfH6Hov3.jpg,"kumiko, the treasur hunter","Kumiko, the Treasure Hunter","kumiko, the treasur hunter, drama,in the massiv citi of tokyo, kumiko, a twenty-nin year old, live in utter solitude. she work a dreadful, dead-end job under an aw boss, is intimid by her well-off peers, and nag incessantli by her overbear mother who is exasper by the fact that her daughter is not marri or even in a relationship. the onli joy in her life come from a graini vh tape – an american film in which a man buri a satchel of money in the snowi midwestern plain - and her belov pet rabbit, bunzo. kumiko is somehow convinc that thi treasur is real, and obsess over it discovery. with a hand-stitch treasur map and a quixot spirit, kumiko embark on an incred journey over the pacif and through the frozen minnesota wilder to uncov a purport fortune., a zellner bros. adventur, japan languagebarri treasurehunt northdakota rabbit"
205775 ,tt1390411,/zVmWh0Zfg4UhbvdGI8LQrn1lQZJ.jpg,in the heart of the sea,In the Heart of the Sea,"in the heart of the sea, thriller drama adventur action histori,in the winter of 1820, the new england whale ship essex wa assault by someth no one could believe: a whale of mammoth size and will, and an almost human sens of vengeance. the real-lif maritim disast would inspir herman melville’ mobi dick. but that told onli half the story. “heart of the sea” reveal the encounter’ harrow aftermath, as the ship’ surviv crew is push to their limit and forc to do the unthink to stay alive. brave storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the valu of their live to the moral of their trade, as their captain search for direct on the open sea and hi first mate still seek to bring the great whale down., base on the incred true stori that inspir mobi dick, suicid ocean sea hunger shipwreck ship whale basedontruestori strand surviv whale death newengland lostatsea basedontrueev whalingship starvat 19thcenturi cannib referencetomobydick whaleoil nantucket"
135397 ,tt0369610,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,jurass world,Jurassic World,"jurass world, action adventur sciencefict thriller,twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond., the park is open., monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror"
307087 ,tt2429278,/6Hsed6xhn7MUXqeRtTT9Gu4Ydtt.jpg,the ghost and the whale,The Ghost and the Whale,"the ghost and the whale, thriller drama mysteri,a man, joseph, lose hi wife at sea, then spiral deep into a world of confusion. the wife' brothers' need revenge! joseph tri to tell anyon who will listen that a whale kill hi beauti annabel lee, but even he doesn't quit rememb the truth. a journey into the depth of hi mind, a convers with a whale and blood thirsti brothers., none, "
295144 ,tt3659786,/2N9By7kKC6ea0rYDMSQwzffhary.jpg,marvel,Marvellous,"marvel, drama tvmovi,dramatis of the true stori of the life of neil ""nello"" baldwin. born with a mild learn disabl but without the burden of social embarrass &amp; how hi inexhaust abil to see the good in ani situat overcam ani stigma societi tri to label him with., i alway want to be happy, so i decid to be., drama soccer tvmovi intellectualdis"
